User Account Name,Followers,Audience Country
jackblack,8600000,United States
dukeandduchessofcambridge,13500000,
harrykane,12100000,United Kingdom
sssniperwolf,5300000,United States
edwestwick,8700000,Brazil
bobbyindaeyo,3400000,Indonesia
ateez_official_,6000000,United States
dejesusoficial,16300000,Brazil
nouraridaofficial,10100000,Saudi Arabia
baifernbah,9700000,Indonesia
olamide,8900000,Nigeria
la_segura,8100000,Colombia
rayssalealsk8,6700000,Brazil
divyankatripathidahiya,18500000,India
you_r_love,5300000,Indonesia
kawtarbamo,7100000,Morocco
aykutelmas,6800000,Turkey
gucci,47100000,United States
sarahhyland,9000000,United States
romelulukaku,8600000,Italy
masijacoke850714,4700000,South Korea
soycarolinadiaz,8300000,Mexico
veradijkmans,4900000,United States
sophiedee,11300000,United States
hziyech,5400000,Morocco
g_eazy,9300000,United States
michaelclifford,5800000,United States
christian_fig,10100000,Brazil
chloebailey,4600000,United States
ahmedhelmy,16200000,Egypt
miyayeah,7900000,South Korea
pabllovittar,12400000,Brazil
caviarmagnat,11900000,Russia
jordialbaoficial,13900000,Spain
valentinazenere,8300000,Brazil
nozeworld,3200000,South Korea
davidluiz23,21000000,Brazil
ravindra.jadeja,4200000,India
brunofernandes.10,6600000,United Kingdom
loud_thurzin,6800000,Brazil
euxama,6600000,Brazil
dagelan,20600000,Indonesia
youngdae0302,3800000,Indonesia
kto_takaya,7400000,Russia
meekmill,22100000,United States
viking.barbie,11000000,United States
lala,12700000,United States
casemiro,13600000,Spain
elt6i,7200000,Russia
natalee.007,6800000,United States
rishabpant,5700000,India
jeffreestar,13600000,United States
emiliovmartinez,13600000,Mexico
farruko,19800000,United States
gemmastyles,8100000,United States
manelyk_oficial,13800000,Mexico
giovannaantonelli,15700000,Brazil
lunay,10200000,Mexico
najwashihab,21100000,Indonesia
senoritasaeva,7700000,Russia
manuelneuer,11500000,Germany
sahilkhan,10100000,India
mohanshakti,13700000,India
eduincaz,6200000,Mexico
